No,開始時間,終了時間,長さ(分),概要,信頼度,YouTubeリンク
1,0:00,10:00,10,配信開始・挨拶 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=0
2,10:00,20:00,10,記念話・デビュー半年 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=600
3,20:00,30:00,10,記念話・デビュー半年 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=1200
4,30:00,40:00,10,音楽・BGM話 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=1800
5,40:00,50:00,10,音楽・BGM話 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=2400
6,50:00,1:00:00,10,告知・イベント | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=3000
7,1:00:00,1:10:00,10,色紙企画・リスナー名前書き | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=3600
8,1:10:00,1:20:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=4200
9,1:20:00,1:30:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=4800
10,1:30:00,1:40:00,10,色紙企画・リスナー名前書き | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=5400
11,1:40:00,1:50:00,10,色紙企画・リスナー名前書き | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=6000
12,1:50:00,2:00:00,10,日常・最近の話 | 色紙企画,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=6600
13,2:00:00,2:10:00,10,色紙企画 | 日常・最近の話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=7200
14,2:10:00,2:20:00,10,長時間配信・疲労話 | 寝落ち・睡眠話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=7800
15,2:20:00,2:30:00,10,感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=8400
16,2:30:00,2:40:00,10,日常・最近の話 | リスナー交流,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=9000
17,2:40:00,2:50:00,10,音楽・BGM話 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=9600
18,2:50:00,3:00:00,10,音楽・BGM話 | 長時間配信の疲労話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=10200
19,3:00:00,3:10:00,10,色紙企画・リスナー名前書き | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=10800
20,3:10:00,3:20:00,10,色紙企画・リスナー名前書き | BGM・音楽切り替え,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=11400
21,3:20:00,3:30:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=12000
22,3:30:00,3:40:00,10,音楽・BGM話 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=12600
23,3:40:00,3:50:00,10,記念話 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=13200
24,3:50:00,4:00:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=13800
25,4:00:00,4:10:00,10,色紙企画・リスナー名前書き | 初見さん歓迎・交流,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=14400
26,4:10:00,4:20:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=15000
27,4:20:00,4:30:00,10,音楽・BGM話 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=15600
28,4:30:00,4:40:00,10,BGM・音楽切り替え | 配信環境・設定,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=16200
29,4:40:00,4:50:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=16800
30,4:50:00,5:00:00,10,色紙企画・リスナー名前書き | 日常・最近の話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=17400
31,5:00:00,5:10:00,10,BGM・音楽切り替え | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=18000
32,5:10:00,5:20:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=18600
33,5:20:00,5:30:00,10,色紙企画・リスナー名前書き | BGM・音楽切り替え,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=19200
34,5:30:00,5:40:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=19800
35,5:40:00,5:50:00,10,長時間配信・疲労話 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=20400
36,5:50:00,6:00:00,10,感謝・お礼 | 配信環境・設定,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=21000
37,6:00:00,6:10:00,10,告知・イベント紹介 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=21600
38,6:10:00,6:20:00,10,長時間配信・疲労話 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=22200
39,6:20:00,6:30:00,10,BGM・音楽切り替え | 配信環境・設定,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=22800
40,6:30:00,6:40:00,10,色紙企画・リスナー名前書き | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=23400
41,6:40:00,6:50:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=24000
42,6:50:00,7:00:00,10,感謝・お礼 | 配信環境・設定,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=24600
43,7:00:00,7:10:00,10,長時間配信・疲労話 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=25200
44,7:10:00,7:20:00,10,配信開始・挨拶,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=25800
45,7:20:00,7:30:00,10,色紙企画・リスナー名前書き | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=26400
46,7:30:00,7:40:00,10,色紙企画・リスナー名前書き | 体調・声の調子について,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=27000
47,7:40:00,7:50:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=27600
48,7:50:00,8:00:00,10,告知・イベント紹介 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=28200
49,8:00:00,8:10:00,10,感謝・お礼 | 配信開始・挨拶,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=28800
50,8:10:00,8:20:00,10,長時間配信・疲労話 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=29400
51,8:20:00,8:30:00,10,長時間配信・疲労話 | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=30000
52,8:30:00,8:40:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=30600
53,8:40:00,8:50:00,10,配信開始・挨拶 | 日常・最近の話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=31200
54,8:50:00,9:00:00,10,長時間配信・疲労話 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=31800
55,9:00:00,9:10:00,10,ゲームの話題 | ゲーム話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=32400
56,9:10:00,9:20:00,10,色紙企画・リスナー名前書き | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=33000
57,9:20:00,9:30:00,10,長時間配信・疲労話 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=33600
58,9:30:00,9:40:00,10,長時間配信・疲労話 | 体調・声の調子について,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=34200
59,9:40:00,9:50:00,10,長時間配信・疲労話 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=34800
60,9:50:00,10:00:00,10,長時間配信・疲労話 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=35400
61,10:00:00,10:10:00,10,長時間配信・疲労話 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=36000
62,10:10:00,10:20:00,10,配信環境・設定 | 日常・最近の話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=36600
63,10:20:00,10:30:00,10,長時間配信・疲労話 | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=37200
64,10:30:00,10:40:00,10,長時間配信・疲労話 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=37800
65,10:40:00,10:50:00,10,ゲームの話題 | 12時間配信話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=38400
66,10:50:00,11:00:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=39000
67,11:00:00,11:10:00,10,色紙企画・リスナー名前書き | BGM・音楽切り替え,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=39600
68,11:10:00,11:20:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=40200
69,11:20:00,11:30:00,10,長時間配信・疲労話 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=40800
70,11:30:00,11:40:00,10,色紙企画・リスナー名前書き | BGM・音楽切り替え,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=41400
71,11:40:00,11:50:00,10,色紙企画・リスナー名前書き | 長時間配信の疲労話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=42000
72,11:50:00,11:53:32,4,色紙企画・リスナー名前書き | 長時間配信の疲労話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=42600
